asunto,categoria
"['acciones', 'concretas', 'fomentar', 'promocionar', 'incentivar', 'compañías', 'aéreas', 'quinta', 'libertad', 'aérea', 'territorio', 'canarias', '2021', '2022', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['acciones', 'fitur', '2022', 'fomentar', 'productos', 'agroalimentarios', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['acciones', 'llevadas', 'cabo', 'promoción', 'acogimiento', 'familiar', 'modalidades', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['acciones', 'desarrollar', 'plan', 'frutas', 'verduras', 'centros', 'educativos', 'curso', '20212022', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['acciones', 'disminuir', 'brecha', 'científica', 'tecnológica', 'mundo', 'rural', 'dirigida', 'consejera', 'educación', 'universidades', 'cultura', 'deportes']",EDUCACIÓN Y COMUNICACIÓN
"['acciones', 'atención', 'intervención', 'menores', 'riesgo', 'exclusión', 'social', '2021', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['acciones', 'previstas', 'atención', 'intervención', 'menores', 'riesgo', 'exclusión', 'social', '2022', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['acciones', 'llevando', 'cabo', 'atención', 'jóvenes', 'extutelados', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['acciones', 'llevando', 'cabo', 'reactivar', 'comercio', '2022', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",INTERCAMBIOS ECONÓMICOS Y COMERCIALES
"['acciones', 'desarrollado', 'realización', 'protocolos', 'mutilación', 'genital', 'femenina', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']",ASUNTOS SOCIALES
"['acciones', 'llevaron', 'cabo', 'atraer', 'empresas', 'inversión', 'reino', 'unido', 'raíz', 'brexit', '2019', '2020', '2021', 'dirigida', 'consejero', 'hacienda', 'presupuestos', 'asuntos', 'europeos']",ASUNTOS FINANCIEROS
"['acciones', 'realizadas', 'compromiso', 'reducción', 'emisiones', 'generadas', 'actividades', 'vinculadas', 'turismo', 'objetivos', 'estrategia', 'canarias', 'destino', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']",MEDIO AMBIENTE
"['acciones', 'ayudas', 'programas', 'específicos', 'fuerteventura', 'lanzarote', 'llevados', 'cabo', 'evitar', 'desplome', 'economía', 'islas', '2020', '2021', 'dirigida', 'consejera', 'economía', 'conocimiento']",ECONOMÍA
"['acogimiento', 'subvenciones', 'transporte', 'mercancías', 'interinsular', 'empresas', 'economía', 'circular', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRANSPORTES
"['activación', 'servicio', 'menores', 'graves', 'trastornos', 'conducta', 'financiado', '42', 'millones', 'euros', '14', 'plazas', 'dirigida', 'consejero', 'sanidad']",ASUNTOS SOCIALES
"['actuaciones', 'puerto', 'órzola', 'haría', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",INDUSTRIA
"['actuaciones', 'mejora', 'frente', 'marítimo', 'basílica', 'parking', 'muelle', 'candelaria', 'dirigida', 'consejero', 'transición', 'ecológica', 'lucha', 'cambio', 'climático', 'planificación', 'territorial']",MEDIO AMBIENTE
"['actuaciones', 'relación', 'pescadores', 'recreo', 'acusan', 'movilidad', 'reducida', 'cuenten', 'lugares', 'habilitados', 'práctica', 'actividad', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'hierro', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'fuerteventura', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'canaria', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'gomera', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'palma', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'lanzarote', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'priorizadas', 'financiadas', 'tenerife', 'dirigida', 'consejero', 'obras', 'públicas', 'transportes', 'vivienda']",TRANSPORTES
"['actuaciones', 'definir', 'tallas', 'mínimas', 'especies', 'pesqueras', 'interés', 'comercial', 'cumplir', 'legislación', 'europea', 'estatal', 'garantizar', 'sostenibilidad', 'sector', 'pesquero', 'plazo', 'dirigida', 'consejera', 'agricultura', 'ganadería', 'pesca']","AGRICULTURA, SILVICULTURA Y PESCA"
"['actuaciones', 'paliar', 'brecha', 'digital', 'pymes', 'autónomos', 'dirigida', 'consejera', 'economía', 'conocimiento']",TRABAJO Y EMPLEO
